iso_code,tot_case,tot_case_new,tot_case_new_mean,tot_deaths,tot_deaths_new,tot_deaths_new_mean,recoveries,recoveries_new,recoveries_new_mean,total_cases_per_million,total_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,population,mobility_outside_res,stringencyindex
"ZMB",10218,237,245.2857,269,5,3.285714,9126,350,270.4286,542.919,14.36,,,,18383956,3,50.93
"ZWE",5643,265,107.1429,150,9,4,4442,337,403.1429,361.84,9.487,82884,1546,5.577,14862927,-10.6,80.56
"AIA",,,,,,,,,,,,,,,,,26.85
"BMU",,,,,,,,,,,,,,,,,48.15
"CYM",,,,,,,,,,,,,,,,,51.39
"FLK",,,,,,,,,,,,,,,,,27.78
"GIB",,,,,,,,,,,,,,,,,45.37
"GRL",,,,,,,,,,,,,,,,,33.33
"GUM",,,,,,,,,,,,,,,,,79.63
"MAC",,,,,,,,,,,,,,,,,26.85
"MSR",,,,,,,,,,,,,,,,,64.81
"PCN",,,,,,,,,,,,,,,,,11.11
"PSE",,,,,,,,,,,,,,,,,77.78
"RKS",,,,,,,,,,,,,,,,,69.44
"SLB",,,,,,,,,,,,,,,,,37.04
"TCA",,,,,,,,,,,,,,,,,62.96
"TKM",,,,,,,,,,,,,,,,,40.74
"VGB",,,,,,,,,,,,,,,,,51.85
"VUT",,,,,,,,,,,,,,,,,66.67
